日	A	日曰
日卜月大	AYBK	㬚
日卜月心	AYBP	曨
日卜金	AYC	昗
日卜金大	AYCK	晈
日卜木大	AYDK	暾
日卜木中	AYDL	㬑
日卜火木	AYFD	𣉢
日卜竹尸	AYHS	昉昘
日卜大	AYK	旻旼
日卜中水	AYLE	曃
日卜一	AYM	㫔
日卜弓手	AYNQ	㬯
日卜人十	AYOJ	晬
日卜心廿	AYPT	曥
日卜口月	AYRB	暠
日卜口木	AYRD	㬀
日卜口火	AYRF	景晾
日卜口女	AYRV	曩
日卜尸木	AYSD	㒾暆
日卜尸人	AYSO	暶
日卜廿	AYT	昱
日卜廿日	AYTA	暗
日卜廿土	AYTG	曈
日卜廿十	AYTJ	暲
日卜女戈	AYVI	昡𣆂
日卜女人	AYVO	晐
日卜難	AYX	𣋠
月	B	月
月日	BA	㸓
月日月廿	BABT	腽
月日竹一	BAHM	腥
月日戈中	BAIL	䐚
月日大月	BAKB	幂
月日一	BAM	胆
月日一竹	BAMH	腸
月日一十	BAMJ	䏷
月日一人	BAMO	䐎
月日弓土	BANG	膶
月日弓田	BANW	䑌
月日心心	BAPP	䐊
月日廿水	BATE	𦢊
月日山	BAU	肥
月日卜金	BAYC	冥
月月	BB	朋
月月日心竹	BBAPH	䯜
月月日女火	BBAVF	䯥
月月月	BBB	骨
月月月月	BBBB	朤
月月月月口	BBBBR	䯞
月月月口	BBBR	腡
月月月山山	BBBUU	覶
月月月女	BBBV	骽
月月金女	BBCV	䑍
月月木	BBD	䐆
月月木竹水	BBDHE	骳
月月木戈	BBDI	脟
月月木一	BBDM	骵
月月水	BBE	受
月月火木女	BBFDV	髅
月月火一山	BBFMU	䯑
月月土土	BBGG	䯓
月月土土山	BBGGU	髐
月月竹日火	BBHAF	鶻
月月竹水口	BBHER	骼
月月竹火	BBHF	鵬
月月竹竹十	BBHHJ	髀
月月竹十口	BBHJR	䯏
月月竹一口	BBHMR	骺
月月竹弓水	BBHNE	骰
月月竹弓戈	BBHNI	骪
月月竹人弓	BBHON	䯒
月月竹心一	BBHPM	骶
月月竹山	BBHU	觅
月月戈日女	BBIAV	䯖
月月戈月戈	BBIBI	髆
月月戈十月	BBIJB	䯙
月月戈十金	BBIJC	髍
月月戈大大	BBIKK	䯋
月月戈心	BBIP	骮
月月十竹心	BBJHP	䯔
月月十竹口	BBJHR	髂
月月十十	BBJJ	腪
月月十一金	BBJMC	髕
月月十一山	BBJMU	䯘
月月十弓山	BBJNU	䯛
月月十人金	BBJOC	髌
月月十口	BBJR	骷
月月十廿戈	BBJTI	髖
月月十廿山	BBJTU	髋
月月大水	BBKE	爱
月月大一月	BBKMB	䯝
月月大一尸	BBKMS	骻
月月大弓	BBKN	骩
月月大弓戈	BBKNI	骫
月月大尸	BBKS	䯇
月月中一金	BBLMC	䯣
月月中弓	BBLN	剮
月月中田尸	BBLWS	𩩍
月月中田女	BBLWV	髏
月月一	BBM	册䏣
月月一月金	BBMBC	䫚顝
月月一木	BBMD	骬
月月一水	BBME	䐘
月月一十	BBMJ	骭
月月一中大	BBMLK	骾
月月一一山	BBMMU	䯈
月月一弓口	BBMNR	䯊
月月一口	BBMR	胴
月月一女山	BBMVU	旤
月月弓木	BBND	脬
月月弓大土	BBNKG	䯕
月月弓人	BBNO	歄㽰䯉
月月弓手	BBNQ	舜
月月人月土	BBOBG	髉
月月人月人	BBOBO	䯐
月月人戈戈	BBOII	䯍
月月人中中	BBOLL	骱
月月人一日	BBOMA	䯤
月月人一十	BBOMJ	䯎
月月心水	BBPE	愛
月月心一	BBPM	鹏
月月心心	BBPP	𩨨
月月心心土	BBPPG	䯗
月月心口山	BBPRU	骲
月月心卜一	BBPYM	鹘
月月口	BBR	咼
月月尸木	BBSD	㬹
月月尸大弓	BBSKN	䯌
月月尸一竹	BBSMH	髎
月月廿一廿	BBTMT	髒
月月廿心人	BBTPO	䯟
月月廿手一	BBTQM	髊
月月廿田戈	BBTWI	䯦
月月廿田廿	BBTWT	體
月月廿難金	BBTXC	䯡
月月山	BBU	亂䯆
月月山土	BBUG	臞
月月山中	BBUL	鼏
月月山山	BBUU	䏹覓
月月女	BBV	脮
月月女戈月	BBVIB	䯚
月月女大	BBVK	膎
月月田木	BBWD	髁
月月田中月	BBWLB	髃
月月田中戈	BBWLI	髑
月月田人廿	BBWOT	䯠
月月卜月尸	BBYBS	髈
月月卜金大	BBYCK	骹
月月卜竹弓	BBYHN	骯
月月卜大月	BBYKB	髓
月月卜一心	BBYMP	骴
月月卜心廿	BBYPT	髗
月月卜口月	BBYRB	髇
月月卜廿十	BBYTJ	辭
月月卜女人	BBYVO	骸
月金	BC	㓁𦉪
月金日月山	BCABU	賵
月金日一竹	BCAMH	𧶽
月金日心竹	BCAPH	賜
月金月金金	BCBCC	贔
月金月金木	BCBCD	賝
月金月金火	BCBCF	䴍
月金月土口	BCBGR	賙
月金月十十	BCBJJ	賱
月金月尸木	BCBSD	𧶄
月金月山金	BCBUC	賏
月金月山山	BCBUU	覭
月金金	BCC	鑍
月金金戈一	BCCIM	𧷜
月金金田	BCCW	䐉
月金金田日	BCCWA	贈
月金木	BCD	罙
月金木竹	BCDH	財
月金木竹水	BCDHE	貱
月金火月金	BCFBC	䞆贘
月金火火	BCFF	賧
月金火一山	BCFMU	𧵦
月金火手金	BCFQC	䞉
月金土木戈	BCGDI	䝰
月金土田金	BCGWC	贖
月金竹日火	BCHAF	鵙鸎
月金竹月廿	BCHBT	賉
月金竹水	BCHE	販
月金竹水口	BCHER	賂
月金竹戈人	BCHIO	貶
月金竹十口	BCHJR	𧵳
月金竹心一	BCHPM	貾
月金竹手一	BCHQM	貹
月金竹手山	BCHQU	㲘
月金竹山金	BCHUC	𧹏
月金戈	BCI	戝
月金戈月戈	BCIBI	賻
月金戈金水	BCICE	賐
月金戈土	BCIG	賍
月金戈土戈	BCIGI	賘
月金戈戈	BCII	賤
月金戈戈竹	BCIIH	贂
月金戈十	BCIJ	賊
月金戈十月	BCIJB	䝵
月金戈十水	BCIJE	賕
月金戈大火	BCIKF	䞈
月金戈大大	BCIKK	贆
月金戈一	BCIM	䐥
月金戈一尸	BCIMS	贓
月金戈心	BCIP	䐋
月金戈手	BCIQ	賎
月金戈口	BCIR	貽
月金十	BCJ	肸
月金十戈口	BCJIR	賳
月金十大日	BCJKA	賭
月金十一火	BCJMF	賩
月金十一弓	BCJMN	貯
月金十弓山	BCJNU	䝹
月金大月	BCKB	賄
月金中中	BCLL	賗
月金中中心	BCLLP	贃
月金中一廿	BCLMT	贐
月金中弓	BCLN	則
月金一月金	BCMBC	䫤
月金一月大	BCMBK	䞂
月金一土土	BCMGG	䝽
月金一土大	BCMGK	䞃
月金一十	BCMJ	罕
月金一一山	BCMMU	貦
月金一一女	BCMMV	賑
月金一心一	BCMPM	賦
月金一尸	BCMS	肹
月金一女弓	BCMVN	甖
月金一女口	BCMVR	䞅
月金一田十	BCMWJ	贉
月金弓日山	BCNAU	䒌
月金弓金口	BCNCR	贍
月金弓木	BCND	𧴯
月金弓竹	BCNH	䏲
月金弓中	BCNL	郥鄍
月金弓卜人	BCNYO	䝪
月金人竹竹	BCOHH	䝩
月金人戈口	BCOIR	賶
月金人十山	BCOJU	罌
月金人大	BCOK	敗
